index,label
618,clean_water
620,clean_water
621,clean_water
622,clean_water
631,clean_water
640,clean_water
641,clean_water
644,clean_water
645,clean_water
649,clean_water
652,clean_water
653,clean_water
654,clean_water
655,clean_water
657,clean_water
660,clean_water
663,clean_water
664,clean_water
565,algae
566,algae
666,clean_water
674,clean_water
678,clean_water
679,clean_water
682,clean_water
683,clean_water
684,clean_water
685,clean_water
690,clean_water
691,clean_water
692,clean_water
693,clean_water
695,algae
696,clean_water
697,clean_water
698,clean_water
700,clean_water
701,clean_water
702,clean_water
703,clean_water
704,clean_water
705,clean_water
708,clean_water
709,clean_water
714,clean_water
715,clean_water
716,clean_water
717,clean_water
718,clean_water
719,clean_water
721,algae
722,clean_water
723,algae
727,clean_water
728,clean_water
729,clean_water
731,clean_water
732,algae
733,clean_water
736,algae
737,clean_water
738,clean_water
739,clean_water
740,clean_water
742,algae
743,clean_water
746,clean_water
747,clean_water
720,mucilage
734,algae
750,clean_water
751,clean_water
752,clean_water
754,mucilage
758,algae
759,algae
760,algae
761,algae
763,clean_water
764,clean_water
765,algae
766,clean_water
768,algae
770,clean_water
771,clean_water
774,clean_water
775,algae
776,algae
777,mucilage
778,mucilage
779,algae
780,clean_water
787,clean_water
792,clean_water
846,clean_water
854,clean_water
868,clean_water
869,clean_water
895,clean_water
898,algae
899,clean_water
900,mucilage
909,clean_water
910,algae
919,clean_water
749,clean_water
753,clean_water
769,algae
882,mucilage
897,mucilage
920,clean_water
924,clean_water
925,clean_water
927,mucilage
935,clean_water
942,clean_water
946,clean_water
947,clean_water
961,clean_water
962,algae
965,clean_water
966,clean_water
971,algae
973,clean_water
975,clean_water
976,algae
977,clean_water
978,clean_water
979,clean_water
980,mucilage
981,clean_water
982,clean_water
983,clean_water
984,algae
986,clean_water
987,clean_water
988,mucilage
990,clean_water
991,clean_water
993,clean_water
994,clean_water
997,clean_water
998,clean_water
1000,mucilage
1002,clean_water
1003,clean_water
1004,clean_water
1005,clean_water
1006,algae
1007,clean_water
1010,mucilage
1011,clean_water
1012,mucilage
1013,clean_water
1014,clean_water
1015,mucilage
1018,clean_water
1019,mucilage
1026,clean_water
1028,clean_water
1033,mucilage
1034,clean_water
1035,mucilage
1037,clean_water
1038,mucilage
1041,clean_water
1043,clean_water
1044,clean_water
1045,mucilage
1047,clean_water
1048,clean_water
1050,clean_water
1053,mucilage
1056,clean_water
1057,clean_water
1059,algae
1060,clean_water
1063,mucilage
1064,mucilage
1066,clean_water
1069,clean_water
1073,clean_water
1074,clean_water
1077,clean_water
1078,clean_water
1080,clean_water
1083,clean_water
1087,clean_water
964,clean_water
999,clean_water
1022,clean_water
1025,algae
1036,clean_water
1042,clean_water
1072,clean_water
1084,algae
1090,clean_water
1091,clean_water
1092,clean_water
1093,clean_water
1095,clean_water
1097,clean_water
1100,clean_water
1101,clean_water
1104,clean_water
1107,clean_water
1109,clean_water
1110,clean_water
1112,clean_water
1115,clean_water
1116,clean_water
1117,clean_water
1118,clean_water
1119,clean_water
1120,clean_water
1121,clean_water
1122,clean_water
1123,clean_water
1124,clean_water
1126,clean_water
1127,clean_water
1129,clean_water
1132,clean_water
1134,clean_water
1135,clean_water
1139,clean_water
1140,clean_water
1141,clean_water
1143,clean_water
1145,clean_water
1147,clean_water
1151,clean_water
1152,clean_water
1155,clean_water
1158,clean_water
1160,clean_water
1165,clean_water
1166,clean_water
1168,clean_water
1169,clean_water
1172,algae
1173,clean_water
1174,clean_water
1175,algae
1179,clean_water
1180,algae
1181,algae
1182,clean_water
1184,algae
1185,clean_water
1187,clean_water
1188,clean_water
1190,clean_water
1192,algae
1193,mucilage
1195,clean_water
1196,clean_water
1197,clean_water
1199,clean_water
1201,algae
1203,clean_water
1208,clean_water
1211,algae
1212,algae
1214,clean_water
1216,algae
1217,clean_water
1218,clean_water
1219,clean_water
1220,clean_water
1221,mucilage
1222,clean_water
1223,clean_water
1225,algae
1227,algae
1229,clean_water
1232,clean_water
1233,clean_water
1236,algae
1237,clean_water
1239,clean_water
1243,clean_water
1244,clean_water
1245,clean_water
1246,clean_water
1247,algae
1248,clean_water
1251,clean_water
1258,clean_water
1259,mucilage
1260,clean_water
1262,algae
1263,clean_water
1265,clean_water
1266,clean_water
1267,clean_water
1268,clean_water
1269,clean_water
1270,clean_water
1271,clean_water
1273,clean_water
1275,clean_water
1276,clean_water
1277,clean_water
1281,clean_water
1283,mucilage
1284,clean_water
1287,mucilage
1288,clean_water
1289,clean_water
1290,clean_water
1292,clean_water
1293,clean_water
1295,clean_water
1297,clean_water
1299,clean_water
1300,clean_water
1301,clean_water
1303,clean_water
1304,clean_water
1305,clean_water
1307,clean_water
1308,clean_water
1309,clean_water
1310,clean_water
1312,clean_water
1313,clean_water
1314,clean_water
1315,clean_water
1316,clean_water
1317,clean_water
1319,clean_water
1320,mucilage
1321,clean_water
1322,clean_water
1324,clean_water
1325,clean_water
1326,clean_water
1094,clean_water
1144,clean_water
1164,clean_water
1204,clean_water
1215,clean_water
1240,clean_water
1264,clean_water
1294,clean_water
1318,clean_water
1328,clean_water
1329,clean_water
1331,clean_water
1332,clean_water
1333,clean_water
1334,clean_water
1335,mucilage
1336,clean_water
1337,clean_water
1339,clean_water
1342,mucilage
1344,clean_water
1345,clean_water
1346,clean_water
1348,mucilage
1349,clean_water
1350,clean_water
1353,clean_water
1354,clean_water
1355,clean_water
1356,clean_water
1357,clean_water
1358,clean_water
1361,clean_water
1363,clean_water
1367,clean_water
1368,clean_water
1369,clean_water
1370,clean_water
1371,clean_water
1372,clean_water
1373,clean_water
1376,clean_water
1381,clean_water
1382,clean_water
1383,clean_water
1385,clean_water
1386,clean_water
1387,clean_water
1388,clean_water
1389,clean_water
1390,clean_water
1391,clean_water
1394,clean_water
1395,clean_water
1397,clean_water
1399,clean_water
1400,clean_water
1402,clean_water
1406,clean_water
1409,clean_water
1413,clean_water
1414,clean_water
1415,clean_water
1416,clean_water
1417,clean_water
1419,clean_water
1420,clean_water
1421,clean_water
1422,clean_water
1423,clean_water
1424,clean_water
1425,clean_water
1428,clean_water
1429,clean_water
1431,clean_water
1434,clean_water
1436,clean_water
1437,clean_water
1438,clean_water
1439,clean_water
1440,clean_water
1441,clean_water
1443,clean_water
1444,clean_water
1445,clean_water
1446,clean_water
1447,clean_water
1449,clean_water
1450,clean_water
1451,clean_water
1452,clean_water
1454,clean_water
1456,clean_water
1457,clean_water
1459,mucilage
1460,clean_water
1463,mucilage
1465,mucilage
1466,clean_water
1467,mucilage
1469,mucilage
1470,clean_water
1471,mucilage
1474,clean_water
1475,clean_water
1476,clean_water
1477,clean_water
1478,clean_water
1479,clean_water
1480,mucilage
1483,mucilage
1484,clean_water
1485,mucilage
1486,clean_water
1488,clean_water
1489,clean_water
1490,clean_water
1492,clean_water
1493,mucilage
1494,mucilage
1496,clean_water
1497,clean_water
1498,mucilage
1499,clean_water
1501,clean_water
1504,algae
1506,mucilage
1507,algae
1508,clean_water
1509,mucilage
1510,mucilage
1512,clean_water
1513,clean_water
1514,clean_water
1515,clean_water
1516,clean_water
1517,clean_water
1519,clean_water
1520,mucilage
1524,mucilage
1525,mucilage
1529,clean_water
1530,clean_water
1531,clean_water
1532,clean_water
1533,mucilage
1534,mucilage
1535,mucilage
1538,mucilage
1540,clean_water
1541,mucilage
1546,clean_water
1548,mucilage
1549,clean_water
1550,clean_water
1551,clean_water
1552,clean_water
1555,clean_water
1557,clean_water
1432,clean_water
1458,mucilage
1461,algae
1464,clean_water
1554,clean_water
1560,clean_water
1562,clean_water
1564,clean_water
1567,clean_water
1569,clean_water
1570,clean_water
1571,clean_water
1572,clean_water
1573,clean_water
1574,clean_water
1575,clean_water
1576,clean_water
1577,clean_water
1578,clean_water
1581,clean_water
1582,clean_water
1583,clean_water
1586,clean_water
1587,clean_water
1588,clean_water
1590,clean_water
1594,clean_water
1598,clean_water
1599,clean_water
1602,clean_water
1610,clean_water
1611,clean_water
1615,clean_water
1616,clean_water
1617,clean_water
1618,clean_water
1619,clean_water
1620,clean_water
1622,clean_water
1624,clean_water
1628,clean_water
1629,clean_water
1630,clean_water
1631,clean_water
1632,clean_water
1633,clean_water
1635,clean_water
1636,clean_water
1639,clean_water
1640,clean_water
1641,clean_water
1384,clean_water
1597,clean_water
238,clean_water
249,clean_water
283,clean_water
289,clean_water
292,clean_water
299,clean_water
302,clean_water
307,clean_water
314,clean_water
316,clean_water
317,clean_water
321,clean_water
334,clean_water
338,clean_water
343,clean_water
603,clean_water
627,clean_water
656,clean_water
657,clean_water
659,clean_water
687,clean_water
692,clean_water
703,clean_water
717,clean_water
719,clean_water
727,clean_water
741,clean_water
744,algae
759,clean_water
784,clean_water
785,clean_water
802,clean_water
833,clean_water
